sample,assay_protein_per_area_mg_per_g,assay_protein_per_area_mg_per_m2
QL272,47.05976598,9159.915094
T203,28.49718229,5117.659764
QL002,90.74680493,6829.570613
YG206,65.23883119,17650.78947
QL100,36.71240946,9479.897975
RH071,49.89799493,13699.76025
QL205,58.09214809,11984.16193
T195,33.04556686,9100.004801
YG068,113.2849878,14527.37804
KG075,53.74697098,20145.9177
QL014,85.66814281,9330.716153
KG097,41.89386901,7291.216691
T179,36.21873957,11602.36973
QL062,80.57282953,14470.64757
QL001,111.5030375,8518.567968
T113,31.30840147,10077.50728
KG067,75.84995093,11946.10386
QL275,75.26266397,14307.03728
T206,33.67241799,7786.95105
T263,66.61693224,11208.59318
QL203,65.08416919,12656.51138
QL006,81.88339512,10192.89836
QL290,60.22550865,13032.90592
QL351,38.91534341,11037.56001
T121,31.64873815,12278.4061
T071,60.92276296,17975.49943
T097,53.40097034,17334.41976
T177,66.23835958,18059.43694
T194,42.12846499,10989.0445
KG087,72.17250363,15204.18706
QL082,96.63008787,20444.59627
KG113,39.68398425,5406.167358
QL250,57.97455421,14584.64433
RH079,32.55181054,37315.4127
